,train_auc4,test_auc4
0,0.6821600063466606,0.6584883680308684
1,0.7153808420460982,0.6854704279184972
2,0.7109915448999501,0.6897655253243377
3,0.7149273430095466,0.6919130740272578
4,0.6911774548803805,0.6577702124560797
5,0.6555473258127407,0.6436250186358508
6,0.7183174156205141,0.6989666463783959
7,0.7134538684838468,0.6933286311124975
8,0.7104976967862394,0.678364970406515
9,0.654285037589841,0.6279259073014648
10,0.7149054392248032,0.692607016526986
11,0.701202197764713,0.6833436332799147
12,0.6899808780117112,0.6705794064376963
13,0.7012079619185929,0.6854669689077743
14,0.6257038815857348,0.6016620029886247
15,0.7068053642411701,0.6897309352171083
16,0.6865689016160003,0.6520733940078913
17,0.7327741103897059,0.7054058334764338
18,0.6731068200588856,0.6286025547475783
